name	month_average	overall	Correlation Coefficient
Cruncheroos.xml	0	0	
CSCleve.xml	0	0	
dancintammy.xml	0	0	
danicawu.xml	0	0	
danielellsworth.xml	0	0	
danillegenesis.xml	0	0	
danilletulagan.xml	0	0	
DanyellAvery.xml	0	0	
Danyellecamp.xml	33	23	
DanyelleSargent.xml	2	9	
danyelle.xml	0	0	
DaRealPetey.xml	0	7	
davinadrummond.xml	0	0	
davina_g.xml	0	0	
deeonnuhh.xml	0	0	
diablocody.xml	0	0	
DiariesofBella.xml	0	0	
DILLONFRANCIS.xml	9	28	
dinewatson.xml	0	0	
DionnaChambers.xml	2	9	
donita01583265.xml	0	0	
donitabhubiy.xml	0	0	
donita.xml	0	0	
donvers.xml	0	0	
DrewBeckie.xml	2	9	
DrJaninaRamirez.xml	1	7	
DruAnC.xml	0	0	
drublood.xml	0	0	
drucillaxgraves.xml	0	0	
DW_LeagueRep.xml	0	0	
ediebrickell.xml	0	0	
edieharris.xml	0	0	
EDIE_PARKER.xml	1	8	
edie.xml	0	0	
eduardocosta.xml	0	0	
_Eduardofficial.xml	3	9	
eduardosurita.xml	0	0	
edu.xml	0	0	
ElanaRoth.xml	3	9	
elanaspantry.xml	0	0	
elana_s.xml	0	0	
elana.xml	0	0	
elanazak.xml	0	0	
elfestival.xml	0	0	
emamd.xml	0	0	
emmaemail.xml	0	0	
EmmaWWE.xml	5	8	
EmWatson.xml	0	0	
enedinaaawtf.xml	6	18	
enedina_dorsey.xml	0	0	
EnedinaGarcia8.xml	0	1	
enenunezd.xml	0	0	
EPG_PEGGIE.xml	0	0	
ericlodi.xml	0	0	
ericylai.xml	0	0	
FabianPicardo.xml	2	9	
FaMe0492.xml	0	0	
FawnCheree.xml	6	9	
FawnDorr.xml	8	12	
FAWNinc.xml	0	0	
f_cancellara.xml	0	0	
felicefawn.xml	0	0	
FERNANDOGARIBAY.xml	0	0	
Fernando_Halman.xml	2	7	
FGConsuela.xml	0	0	
fifiandjules.xml	0	0	
FotballklubbLyn.xml	0	0	
FrancisBoulle.xml	6	22	
Francis_Lam.xml	8	9	
freddurst.xml	0	0	
FredFigglehorn.xml	0	0	
fredgol9.xml	0	0	
FREDTHEGODSON.xml	6	9	
fredwilson.xml	0	0	
freshfire7.xml	0	0	
FufoDanz.xml	0	0	
Gallivanters.xml	0	0	
gidgetdc.xml	17	9	
GidgetFndation.xml	4	5	
gidget.xml	0	0	
GioTraining.xml	0	0	
GiovanniAgnelli.xml	0	0	
GiovanniGiorgio.xml	1	9	
giovanni.xml	0	0	
gleeandcakes.xml	0	0	
Gorgeous_DParis.xml	0	0	
gringogidget.xml	0	0	
harleyclifford.xml	2	9	
HarrisonWebb97.xml	6	9	
tgr.xml	0	0	
hattiebrett.xml	0	0	
hattiecollins.xml	2	7	
HattieDoodles.xml	1	8	
hattiepearson.xml	0	0	
hattie_watson.xml	0	0	
hayitsdi.xml	0	0	
HermineELLE.xml	1	8	
Herminemeinich.xml	2	8	
HeROficial.xml	0	0	
heyhuong.xml	0	0	
huggieTam.xml	0	0	
humberto_ramos.xml	3	9	
HumbertoTan.xml	8	20	
hungryzi.xml	0	0	
huongdinhxo.xml	0	0	
huongforrest.xml	0	0	
huonng.xml	0	0	
IAMCHERELLEROSE.xml	0	0	
i_am_fabs.xml	0	0	
iamjustinelupe.xml	0	0	
IAmMyOwnMusical.xml	2	8	
iamquita.xml	0	0	
IAmShawnta.xml	52	13	
IDreamInChanel.xml	0	0	
illRunYouOver.xml	0	0	
instylhaircare.xml	0	0	
IreneNell.xml	6	9	
isabelledaza.xml	3	9	
isabellefuhrman.xml	0	0	
isabelleOfic.xml	0	0	
itsBiiTTERSWEET.xml	0	0	
itsjust_shawnta.xml	0	0	
itsmeLoreen.xml	2	9	
itssuanne.xml	0	0	
jackecardona.xml	0	0	
JackieDubon.xml	0	0	
JackNuit.xml	0	0	
jackybrv.xml	0	0	
JackyFontanez.xml	0	0	
jaimelynbeatty.xml	0	0	
janelleai12.xml	0	[]	
JanelleBrown117.xml	3	9	
JanelleMonae.xml	6	20	
JanellePierzina.xml	2	9	
Janina_Dizon.xml	2	8	
janinamanipol.xml	0	0	
JaninaRocks.xml	0	7	
Janina.xml	4	9	
jenelleriley.xml	0	0	
JenelleVictoria.xml	1	2	
jenelle.xml	0	0	
JennaRtweets.xml	3	9	
jeriellsworth.xml	0	0	
jharrison9292.xml	0	0	
jishoutenshi.xml	0	0	
JNRutherford.xml	0	0	
JoelleJames.xml	0	0	
JoelleMardinian.xml	0	0	
JoelleTweeted.xml	0	0	
